"attribute_0","symboling","wheel.base","length","width","height","curb.weight","num.of.cylinders","engine.size","compression.ratio","city.mpg","highway.mpg","make_alfa.romero","make_audi","make_bmw","make_chevrolet","make_dodge","make_honda","make_isuzu","make_jaguar","make_mazda","make_mercedes.benz","make_mercury","make_mitsubishi","make_nissan","make_peugot","make_plymouth","make_porsche","make_renault","make_saab","make_subaru","make_toyota","make_volkswagen","make_volvo","fuel.type_diesel","fuel.type_gas","aspiration_std","aspiration_turbo","body.style_convertible","body.style_hardtop","body.style_hatchback","body.style_sedan","body.style_wagon","drive.wheels_4wd","drive.wheels_fwd","drive.wheels_rwd","engine.location_front","engine.location_rear","engine.type_dohc","engine.type_l","engine.type_ohc","engine.type_ohcf","engine.type_ohcv","engine.type_rotor","fuel.system_1bbl","fuel.system_2bbl","fuel.system_4bbl","fuel.system_idi","fuel.system_mfi","fuel.system_mpfi","fuel.system_spdi","fuel.system_spfi","normalized.losses","num.of.doors","bore","stroke","peak.rpm","class","price"
84,1,96.3,172.4,65.4,51.6,2403,4,110,7.5,23,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,125,4,3.17,3.46,5500,116,9279
85,-1,96.3,172.4,65.4,51.6,2403,4,110,7.5,23,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,137,4,3.17,3.46,5500,116,9279
86,1,94.5,165.3,63.8,54.5,1889,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,128,2,3.15,3.29,5200,69,5499
87,1,94.5,165.3,63.8,54.5,2017,4,103,21.9,45,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,128,2,2.99,3.47,4800,55,7099
88,1,94.5,165.3,63.8,54.5,1918,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,128,2,3.15,3.29,5200,69,6649
89,1,94.5,165.3,63.8,54.5,1938,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,122,4,3.15,3.29,5200,69,6849
90,1,94.5,170.2,63.8,53.5,2024,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,103,4,3.15,3.29,5200,69,7349
91,1,94.5,165.3,63.8,54.5,1951,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,128,2,3.15,3.29,5200,69,7299
92,1,94.5,165.6,63.8,53.3,2028,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,128,2,3.15,3.29,5200,69,7799
93,1,94.5,165.3,63.8,54.5,1971,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,122,4,3.15,3.29,5200,69,7499
94,1,94.5,170.2,63.8,53.5,2037,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,103,4,3.15,3.29,5200,69,7999
95,2,95.1,162.4,63.8,53.3,2008,4,97,9.4,31,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,168,2,3.15,3.29,5200,69,8249
96,0,97.2,173.4,65.2,54.7,2324,4,120,8.5,27,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,106,4,3.33,3.47,5200,97,8949
97,0,97.2,173.4,65.2,54.7,2302,4,120,8.5,27,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,106,4,3.33,3.47,5200,97,9549
98,0,100.4,181.7,66.5,55.1,3095,6,181,9,17,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,128,4,3.43,3.27,5200,152,13499
99,0,100.4,184.6,66.5,56.1,3296,6,181,9,17,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,108,4,3.43,3.27,5200,152,14399
100,0,100.4,184.6,66.5,55.1,3060,6,181,9,19,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,108,4,3.43,3.27,5200,152,13499
101,3,91.3,170.7,67.9,49.7,3071,6,181,9,19,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,194,2,3.43,3.27,5200,160,17199
102,3,91.3,170.7,67.9,49.7,3139,6,181,7.8,17,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,194,2,3.43,3.27,5200,200,19699
103,1,99.2,178.5,67.9,49.7,3139,6,181,9,19,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,231,2,3.43,3.27,5200,160,18399
104,0,107.9,186.7,68.4,56.7,3020,4,120,8.4,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,161,4,3.46,3.19,5000,97,11900
105,0,107.9,186.7,68.4,56.7,3197,4,152,21,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,161,4,3.7,3.52,4150,95,13200
106,0,114.2,198.9,68.4,58.7,3230,4,120,8.4,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,122,4,3.46,3.19,5000,97,12440
107,0,114.2,198.9,68.4,58.7,3430,4,152,21,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,122,4,3.7,3.52,4150,95,13860
108,0,107.9,186.7,68.4,56.7,3075,4,120,8.4,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,161,4,3.46,2.19,5000,95,15580
109,0,107.9,186.7,68.4,56.7,3252,4,152,21,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,161,4,3.7,3.52,4150,95,16900
110,0,114.2,198.9,68.4,56.7,3285,4,120,8.4,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,122,4,3.46,2.19,5000,95,16695
111,0,114.2,198.9,68.4,58.7,3485,4,152,21,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,122,4,3.7,3.52,4150,95,17075
112,0,107.9,186.7,68.4,56.7,3075,4,120,8.4,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,161,4,3.46,3.19,5000,97,16630
113,0,107.9,186.7,68.4,56.7,3252,4,152,21,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,161,4,3.7,3.52,4150,95,17950
114,0,108,186.7,68.3,56,3130,4,134,7,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,161,4,3.61,3.21,5600,142,18150
115,1,93.7,157.3,63.8,50.8,1918,4,90,9.4,37,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,119,2,2.97,3.23,5500,68,5572
116,1,93.7,157.3,63.8,50.8,2128,4,98,7.6,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,119,2,3.03,3.39,5500,102,7957
117,1,93.7,157.3,63.8,50.6,1967,4,90,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,154,4,2.97,3.23,5500,68,6229
118,1,93.7,167.3,63.8,50.8,1989,4,90,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,154,4,2.97,3.23,5500,68,6692
119,1,93.7,167.3,63.8,50.8,2191,4,98,9.4,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,154,4,2.97,3.23,5500,68,7609
120,-1,103.3,174.6,64.6,59.8,2535,4,122,8.5,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,74,4,3.35,3.46,5000,88,8921
121,3,95.9,173.2,66.3,50.2,2818,4,156,7,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,122,2,3.59,3.86,5000,145,12764
122,3,94.5,168.9,68.3,50.2,2778,4,151,9.5,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,186,2,3.94,3.11,5500,143,22018
123,3,89.5,168.9,65,51.6,2756,6,194,9.5,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,122,2,3.74,2.9,5900,207,32528
124,3,89.5,168.9,65,51.6,2756,6,194,9.5,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,122,2,3.74,2.9,5900,207,34028
125,3,89.5,168.9,65,51.6,2800,6,194,9.5,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,122,2,3.74,2.9,5900,207,37028
126,0,96.1,181.5,66.5,55.2,2579,4,132,8.7,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,4,3.46,3.9,5117.58793969849,103.396984924623,9295
127,2,96.1,176.8,66.6,50.5,2460,4,132,8.7,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,122,2,3.46,3.9,5117.58793969849,103.396984924623,9895
128,3,99.1,186.6,66.5,56.1,2658,4,121,9.31,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,150,2,3.54,3.07,5250,110,11850
129,2,99.1,186.6,66.5,56.1,2695,4,121,9.3,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,104,4,3.54,3.07,5250,110,12170
130,3,99.1,186.6,66.5,56.1,2707,4,121,9.3,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,150,2,2.54,2.07,5250,110,15040
131,2,99.1,186.6,66.5,56.1,2758,4,121,9.3,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,104,4,3.54,3.07,5250,110,15510
132,3,99.1,186.6,66.5,56.1,2808,4,121,9,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,150,2,3.54,3.07,5500,160,18150
133,2,99.1,186.6,66.5,56.1,2847,4,121,9,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,104,4,3.54,3.07,5500,160,18620
134,2,93.7,156.9,63.4,53.7,2050,4,97,9,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,83,2,3.62,2.36,4900,69,5118
135,2,93.7,157.9,63.6,53.7,2120,4,108,8.7,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,83,2,3.62,2.64,4400,73,7053
136,2,93.3,157.3,63.8,55.7,2240,4,108,8.7,26,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,83,2,3.62,2.64,4400,73,7603
137,0,97.2,172,65.4,52.5,2145,4,108,9.5,32,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,102,4,3.62,2.64,4800,82,7126
138,0,97.2,172,65.4,52.5,2190,4,108,9.5,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,102,4,3.62,2.64,4400,82,7775
139,0,97.2,172,65.4,52.5,2340,4,108,9,26,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,102,4,3.62,2.64,5200,94,9960
140,0,97,172,65.4,54.3,2385,4,108,9,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,102,4,3.62,2.64,4800,82,9233
141,0,97,172,65.4,54.3,2510,4,108,7.7,24,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,102,4,3.62,2.64,4800,111,11259
142,0,97,173.5,65.4,53,2290,4,108,9,28,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,89,4,3.62,2.64,4800,82,7463
143,0,97,173.5,65.4,53,2455,4,108,9,25,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,89,4,3.62,2.64,5200,94,10198
144,0,96.9,173.6,65.4,54.9,2420,4,108,9,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,85,4,3.62,2.64,4800,82,8013
145,0,96.9,173.6,65.4,54.9,2650,4,108,7.7,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,85,4,3.62,2.64,4800,111,11694
146,1,95.7,158.7,63.6,54.5,1985,4,92,9,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,87,2,3.05,3.03,4800,62,5348
147,1,95.7,158.7,63.6,54.5,2040,4,92,9,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,87,2,3.05,3.03,4800,62,6338
148,1,95.7,158.7,63.6,54.5,2015,4,92,9,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,74,4,3.05,3.03,4800,62,6488
149,0,95.7,169.7,63.6,59.1,2280,4,92,9,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,77,4,3.05,3.03,4800,62,6918
150,0,95.7,169.7,63.6,59.1,2290,4,92,9,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,81,4,3.05,3.03,4800,62,7898
151,0,95.7,169.7,63.6,59.1,3110,4,92,9,27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,4,3.05,3.03,4800,62,8778
152,0,95.7,166.3,64.4,53,2081,4,98,9,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,4,3.19,3.03,4800,70,6938
153,0,95.7,166.3,64.4,52.8,2109,4,98,9,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,4,3.19,3.03,4800,70,7198
154,0,95.7,166.3,64.4,53,2275,4,110,22.5,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,91,4,3.27,3.35,4500,56,7898
155,0,95.7,166.3,64.4,52.8,2275,4,110,22.5,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,91,4,3.27,3.35,4500,56,7788
156,0,95.7,166.3,64.4,53,2094,4,98,9,38,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,4,3.19,3.03,4800,70,7738
157,0,95.7,166.3,64.4,52.8,2122,4,98,9,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,4,3.19,3.03,4800,70,8358
158,0,95.7,166.3,64.4,52.8,2140,4,98,9,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,91,4,3.19,3.03,4800,70,9258
159,1,94.5,168.7,64,52.6,2169,4,98,9,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,168,2,3.19,3.03,4800,70,8058
160,1,94.5,168.7,64,52.6,2204,4,98,9,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,168,2,3.19,3.03,4800,70,8238
161,1,94.5,168.7,64,52.6,2265,4,98,9.4,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,168,2,3.24,3.08,6600,112,9298
162,1,94.5,168.7,64,52.6,2300,4,98,9.4,26,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,168,2,3.24,3.08,6600,112,9538
163,2,98.4,176.2,65.6,52,2540,4,146,9.3,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134,2,3.62,3.5,4800,116,8449
164,2,98.4,176.2,65.6,52,2536,4,146,9.3,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134,2,3.62,3.5,4800,116,9639
165,2,98.4,176.2,65.6,52,2551,4,146,9.3,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134,2,3.62,3.5,4800,116,9989
166,2,98.4,176.2,65.6,52,2679,4,146,9.3,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134,2,3.62,3.5,4800,116,11199
167,2,98.4,176.2,65.6,52,2714,4,146,9.3,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134,2,3.62,3.5,4800,116,11549
168,2,98.4,176.2,65.6,53,2975,4,146,9.3,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,134,2,3.62,3.5,4800,116,17669
169,-1,102.4,175.6,66.5,54.9,2326,4,122,8.7,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,65,4,3.31,3.54,4200,92,8948
170,-1,102.4,175.6,66.5,54.9,2480,4,110,22.5,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,65,4,3.27,3.35,4500,73,10698
